Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Bahrain,2012,123rd,93.9,Warning,6,7,7.3,3.1,5.7,2.8,7.5,2.7,7,4.6,2.6,5.9,2.1,10,4.8,7,6.1,1.8
Ukraine,2012,124th,92.8,Warning,4.3,8,6.2,5.7,5.6,6,7.7,3.9,5.4,5,2.9,6.5,1.5,6.9,3.2,6.6,5.7,1.7
Mongolia,2012,125th,92.1,Warning,4.7,5.5,3.7,5.2,6,2.2,5.6,5.6,5.7,5.8,1.9,6.8,2.8,10,3.8,5.7,8.5,2.6
Brunei Darussalam,2012,126th,92,Warning,5.6,7.4,6.2,3.1,7.8,4.3,7.4,2.9,6.6,4.8,3.6,4.4,1.9,10,2,7.2,5,1.8
Croatia,2012,127th,91.6,Warning,4.7,4.7,5.6,5.4,4.7,4.7,4.2,3.2,4.6,4,5.2,5.3,1.5,9.6,2.3,7.7,10,4.2
Bulgaria,2012,128th,90.7,Warning,4.6,5.3,4.9,5,5.4,5.2,5.1,4.3,4,4,3.3,5.2,1.5,9.5,3.7,7.1,8.6,4.1
Montenegro,2012,129th,89.4,Stable,4.9,6.2,6.5,4.9,3.8,2.7,4.5,3.9,4.7,4.2,4.2,5,1.7,9.3,3.9,7.2,8.6,3.1
Bahamas,2012,130th,89.1,Stable,4.3,4.5,4.4,4.5,5.9,5.9,4.9,4.4,3.1,6.1,2.5,4.6,1.8,9.9,3.4,7.1,9.4,2.3
South Africa,2012,131st,87.2,Stable,4.8,5.9,5.6,5.6,8.2,4,5.2,5.8,4.5,8.1,6.4,2.8,2.6,5.5,1.8,3,0,7.5
Romania,2012,132nd,85.7,Stable,4.4,5.2,6,6,5.6,5,6.3,4.4,4.2,4.6,2.9,4.9,1.5,8.9,2.4,7.1,3.8,2.4
Kuwait,2012,133rd,85.4,Stable,4.7,7.2,4.6,3.7,5.6,4,6.5,2.9,6.5,4.9,3.5,4.7,2.1,9.9,1.5,6.4,5.6,1.1
