Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Azerbaijan,2013,85th,108.2,Elevated Warning,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,7.9,6.9,2,9.3,2.7,7.5,7,1.6
Vietnam,2013,86th,108.2,Elevated Warning,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6,2,5.9,8.1,8,8.8,2.4
Cuba,2013,87th,108.1,Elevated Warning,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7,1.7,9.9,2,8.1,8.8,4.9
Turkmenistan,2013,88th,107.9,Elevated Warning,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,3.9,4.6,3,9.8,0,7.1,9.5,1.7
Mexico,2013,89th,107.7,Elevated Warning,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4,6.1,2.3,8.3,3.3,7.9,9.1,3.7
El Salvador,2013,90th,107.7,Elevated Warning,6.4,4.3,5.7,6.5,7,6.9,5.9,6.5,6.1,7.4,5.5,5.1,2.2,9.2,4.6,7.7,8.1,2.6
Benin,2013,91st,107.6,Elevated Warning,5.8,6.1,3.6,7.1,7.2,6.2,6,8.6,5.1,8.3,6.5,7.3,5.2,7.7,4.1,6.2,5.8,0.8
Cape Verde,2013,92nd,107.6,Elevated Warning,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2,2.5,9.3,5.5,7.4,7.2,2.1
India,2013,93rd,107.3,Elevated Warning,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,5.2,5.2,2.4,8.3,2.8,6.9,8.4,1.1
Venezuela,2013,94th,106.9,Elevated Warning,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9,2.4,8.2,3,7.8,8.6,1.7
Morocco,2013,95th,106.8,Elevated Warning,6.3,6.6,6.5,5.3,6.9,7,6.7,5.9,6.6,5.8,5.9,4.9,2.6,9.9,4.7,7.6,5.9,1.7
Papua New Guinea,2013,96th,106.6,Elevated Warning,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,5,6.3,3.8,7.9,0,6.8,2.9,0.3
Macedonia,2013,97th,106.3,Elevated Warning,6,7,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6,1.5,9.8,6.1,7.7,9.8,3.4
Paraguay,2013,98th,106.1,Elevated Warning,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2,2.6,8.6,4.5,7.5,9.2,1.8
Libya,2013,99th,105.8,Elevated Warning,8.9,8,7.4,5,6.7,4.2,8.4,7.3,9,5.5,5.4,8.8,2.4,9.6,0,7.5,0,1.7
Armenia,2013,100th,105.6,Elevated Warning,5.3,7,5.7,5.9,5.6,6,6.6,4.4,6.8,4.9,7,6.2,1.6,9.5,4.8,7.7,9.5,1.1
Equatorial Guinea,2013,101st,105.5,Elevated Warning,7.5,8.2,6.6,4.5,9.1,6.6,9.6,7.6,9.4,8.3,3.3,5.5,5,0.3,3.9,5.8,3.1,1.2
Dominican Republic,2013,102nd,105.4,Elevated Warning,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9,2.5,8.3,3.1,7.7,8.5,2.1
Suriname,2013,103rd,104.9,Warning,5.8,5.8,6.1,7.1,7,7.6,6.1,5.3,5.4,5.7,3,6.3,2.4,8.6,5.3,7.4,8.8,1.2
Sao Tome and Principe,2013,104th,104.6,Warning,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3,4.6,9.7,0,6.8,7.2,1.8
Namibia,2013,105th,103.9,Warning,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5,3.6,8.9,5.8,6.5,6.4,2.4
Cyprus,2013,106th,103.3,Warning,5,7.9,7.3,5.8,7,4.8,5.5,3,3.3,4,4.4,9,1.4,9.9,5.7,8.2,10,1.1
Kazakhstan,2013,107th,103.1,Warning,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3,2.6,9.8,2.7,7.5,8.3,2.4
Belize,2013,108th,103,Warning,5.5,4.3,4.4,5.5,6.6,7.1,6,6,4.1,6.5,4.9,6.3,2.6,9.5,6.7,7.3,9.4,0.3
Peru,2013,109th,103,Warning,7,6.7,7,4.1,7.8,6.1,7.1,6.4,5,5.9,4.7,4.5,2.5,8.8,2.5,7.7,7,2.2
Malaysia,2013,110th,102.3,Warning,6,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4,2.1,9.7,6.7,7.7,9,1
Samoa,2013,111th,102,Warning,5.5,5.1,4.8,5.9,6,8.8,6,4.8,4.5,6.8,2.5,8,4.1,6.7,4.9,7.8,9.4,0.4
Gabon,2013,112th,102,Warning,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7,6.8,6.8,5.6,5.4,4,7.9,3.3,6.6,5.6,1.6
Ghana,2013,113th,100.8,Warning,3.8,5,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6,4.1,9,4.7,6.3,6.4,1.1
Albania,2013,114th,100.5,Warning,5.5,6.3,4.8,5.3,4.8,6.6,7,4.8,6,4.7,3.1,6.3,1.7,9.9,5.3,8,8.6,1.8
