Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Grenada,2013,124th,57.1,Warning,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7,2.2,-9.7,-5,-7.6,0,-3.3
Albania,2013,114th,57,Warning,5.5,6.3,4.8,5.3,4.8,6.6,7,4.8,6,4.7,3.1,6.3,1.7,-9.9,-5.3,-8,8.6,-1.8
Seychelles,2013,119th,56.6,Warning,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9,2.4,-9.8,-9.3,-7.7,0,-4.4
Trinidad and Tobago,2013,132nd,55.3,Warning,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3,4.2,1.8,-9.2,-5.3,-7.4,0,-2.9
Brunei Darussalam,2013,121st,55.2,Warning,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1,1.9,-9.9,-4.3,-7.9,9.9,0
Bahrain,2013,125th,55.1,Warning,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6,2.1,-9.9,-8.6,-7.8,0,-1
Brazil,2013,126th,54.2,Warning,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7,3.6,3.3,1.8,-9.7,-1.4,-7.8,8.5,-0.9
Kuwait,2013,143rd,51.7,Warning,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4,2,-9.9,-2.7,-7.6,0,-0.6
Mongolia,2013,130th,50.7,Warning,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5,2.8,-9.8,-6.1,-7.3,5.3,-1.5
Panama,2013,128th,50.4,Warning,5.1,2.5,5,3.8,7.9,4.5,4.7,5,4.4,5.9,3.7,3.3,2.6,-8,-6.9,-8.1,8.6,-0.9
