Country,Year,Rank,Total discretized,Total,security apparatus discretized,C1  Security Apparatus,factionalized elites discretized,C2 Factionalized Elites,group grievance discretized,C3 Group Grievance,economy discretized,E1 Economy,economic inequality discretized,E2 Economic Inequality,human flight and brain drain discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,External Intervention discretized,X1 External Intervention,"Fertility rate, total (births per woman) discretized","Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT",Imports of goods and services discretized,Imports of goods and services ,"Life expectancy at birth, female (years) discretized","Life expectancy at birth, female (years)","People using basic drinking water services, rural  discretized","People using basic drinking water services, rural",Proportion of seats held by women in national parliaments discretized,Proportion of seats held by women in national parliaments 
Honduras,2015,63rd,elevated warning,107.7,low,6.7,low,6.6,low,6.4,high,6.3,low,7.7,low,6.9,low,6.7,high,6.7,high,6.3,low,6.8,high,3.7,low,7.4,high,2.5,high,6.3,low,2.9,high,6.8,very low,8.4,low,2.6
Bolivia,2015,64th,elevated warning,107.6,low,6.6,very low,8,low,6.5,neutral,5.4,very low,8.6,low,6.4,low,7,high,6.9,neutral,5.9,low,6.7,high,3.8,low,6.2,high,2.9,high,6.5,very low,1.5,neutral,5.5,low,7.9,neutral,5.3
Venezuela,2015,65th,elevated warning,107.5,low,6.5,very low,8.1,low,7.3,high,6.5,low,6.7,neutral,5.2,very low,8.6,high,7.2,very high,8.3,neutral,5.1,neutral,4.8,neutral,4.3,high,2.3,high,6.8,very low,1.8,high,7.6,very low,8.6,very low,1.7
Turkmenistan,2015,66th,elevated warning,107.4,low,6.8,low,7.8,low,7.1,neutral,5,low,6.9,neutral,5.1,very low,9.7,high,6.1,very high,8.8,neutral,5.7,high,3.9,neutral,4.6,high,2.9,neutral,5.6,low,3.5,neutral,5.5,very low,9.8,low,2.6
Tanzania,2015,67th,elevated warning,106.8,neutral,5.5,neutral,5.7,neutral,5.7,high,6.7,low,7,low,7,low,6,very high,8.7,high,6,very low,8.8,low,6.4,low,7.3,neutral,5.1,very high,8.5,very low,0.9,neutral,4.2,high,3.7,low,3.6
Lebanon,2015,68th,elevated warning,106.2,very low,8.8,very low,9.3,very low,8.6,neutral,5.9,neutral,5.7,neutral,5.4,low,7.8,neutral,5.4,high,7.2,neutral,5.7,very low,9.1,very low,9.2,very high,1.7,neutral,4.8,low,3,very high,8.4,very high,0,very low,0.3
Equatorial Guinea,2015,69th,elevated warning,105.7,low,7,very low,8.2,low,6.3,neutral,5.2,very low,9,low,6,very low,9.8,high,7.1,very high,9.7,low,7.7,high,3.3,neutral,5.5,neutral,4.8,high,6.7,very low,1.9,low,2,high,3.1,low,2.4
Bhutan,2015,70th,elevated warning,105.5,neutral,5,low,7.5,low,7.9,neutral,5.7,low,6.9,low,6.8,neutral,5,high,6.6,high,6.5,low,6,low,6.9,low,7.9,high,2.1,high,6.1,low,2.7,neutral,5.1,very low,9.8,very low,0.9
Thailand,2015,71st,elevated warning,105.4,very low,8.9,very low,10,very low,8.5,neutral,4,neutral,5.8,neutral,4.1,very low,8,neutral,4.9,high,7.7,low,6.9,low,6,neutral,4.3,very high,1.5,neutral,4.2,low,2.6,high,7.7,very low,9.7,very low,0.6
Papua New Guinea,2015,72nd,elevated warning,105.4,low,6.9,low,7.1,low,6.3,high,6.2,very low,9,low,7.1,low,6.9,very high,8.7,high,6.6,low,7.3,neutral,4.6,low,6.7,high,3.7,very high,8.5,low,2,neutral,4.5,high,2.9,very low,0.3
Georgia,2015,73rd,elevated warning,105.3,low,7.3,very low,9.1,low,7.8,neutral,5.8,neutral,5.9,neutral,5.4,very low,8.8,neutral,4.8,neutral,5.8,high,3.9,low,7.4,low,7.3,high,2,neutral,4.1,low,2.8,high,7.2,very low,8.7,very low,1.1
Lesotho,2015,74th,elevated warning,105.3,neutral,5.6,low,7.3,neutral,4.4,very high,8.3,low,7.3,low,7.4,low,6.4,very high,8,neutral,4.8,low,7.7,neutral,4.9,low,7.8,high,3.1,high,7.7,neutral,4.2,very low,1.1,low,6.6,low,2.5
Ecuador,2015,75th,warning,104.8,low,6.7,very low,8.2,low,7.8,neutral,5.3,low,6.8,low,6.2,low,7,high,6.3,neutral,5.1,neutral,5.7,neutral,5.2,neutral,5.6,high,2.5,neutral,5.8,very low,0.7,high,7.7,very low,8,neutral,4.2
Jordan,2015,76th,warning,104.8,neutral,5.5,low,6.9,low,7.7,high,6.3,neutral,5.9,high,3.6,low,6.1,neutral,4.7,high,7.6,low,7,very low,8.8,low,6.8,high,3.4,neutral,4,low,2.7,high,6.8,very low,9.7,very low,1.2
India,2015,77th,warning,104.4,low,7.9,low,7.3,very low,8.3,neutral,5.6,low,7.5,neutral,5.5,neutral,5.2,high,7.5,neutral,5.9,very low,8,neutral,5.4,neutral,5.3,high,2.4,high,7.2,very low,0.6,neutral,5.1,very low,8.5,very low,1.2
Belarus,2015,78th,warning,104.2,low,6.6,very low,8.3,low,6.8,high,6.1,neutral,5.2,high,3.4,very low,8.6,neutral,4.7,very high,8.4,neutral,5.6,neutral,4.1,low,7.8,very high,1.7,neutral,4,low,2.6,high,7.7,very low,9.9,low,2.7
Bosnia and Herzegovina,2015,79th,warning,104.1,low,6.2,very low,8.7,low,7.1,neutral,5.8,neutral,5.6,neutral,5.5,low,7,neutral,4.1,neutral,5.8,low,6.1,low,7.3,very low,8.2,very high,1.3,low,3.3,low,2.4,high,7.8,very low,9.8,low,2.1
Maldives,2015,80th,warning,103.8,low,6.1,low,7.8,neutral,4.6,high,6.4,neutral,4.1,neutral,5.6,very low,8.5,high,6.1,high,7.5,neutral,5.8,neutral,4.7,low,7,high,2.1,neutral,5.6,low,3.9,high,7.5,very low,10,very low,0.6
Russia,2015,81st,warning,103.7,very low,9.1,very low,8.1,very low,9.3,neutral,4.4,low,6.4,neutral,4.5,low,7.9,neutral,4.7,very high,8.9,neutral,5.1,neutral,5.7,neutral,5.9,very high,1.8,neutral,4,very low,0.6,high,7,very low,9,very low,1.4
