Country,Year,Rank,Total discretized,Total,Security Apparatus discretized,C1 Security Apparatus,Factionalized Elites discretized,Factionalized elites discretized,Group grievance discretized,C3 Group Grievance,Economy discretized,E1 Economy,Economic Inequality discretized,E2 Economic Inequality,human flight discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,external intervention,X1 External Intervention,fertility rate discretized,"Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT ",Imports of goods and services discretized,Imports of goods and services,life expectancy discretized,"Life expectancy at birth, female (years)",basic drinking water discretized,"People using basic drinking water services, rural ",seats held by women discretized,Proportion of seats held by women in national parliaments 
Thailand,2014,70th,elevated warning,109.7,high,7.9,very low,9.5,very low,8,low,3.6,low,6.1,high,3.8,low,7.1,neutral,4.9,high,7.4,low,7.6,low,6.5,neutral,4.6,very high,1.5,very high,10,low,3.2,low,7.7,very low,9.7,very low,0.6
Belarus,2014,71st,elevated warning,109.4,high,6.1,very low,8.3,low,7.1,high,6,neutral,5.5,high,3.7,very low,8.8,neutral,5,very high,8.1,neutral,5.5,high,3.6,low,7.3,very high,1.7,very high,9.7,low,2.8,low,7.6,very low,9.9,low,2.7
Ecuador,2014,72nd,elevated warning,108.8,high,6.4,very low,8.2,low,7.5,neutral,5.6,low,7.1,low,6.5,low,6.9,high,6.6,neutral,5,neutral,5.9,neutral,5.7,neutral,5.9,high,2.5,very high,8,very low,1.1,low,7.7,very low,8,neutral,4.2
Lebanon,2014,73rd,elevated warning,108.6,very high,8.6,very low,9.3,very low,8.9,neutral,5.6,low,6,neutral,5.7,low,7.3,neutral,5.7,high,6.8,low,6,very low,8.6,very low,8.4,very high,1.7,high,7.7,low,3.6,very low,8.4,very high,0,very low,0.3
Guatemala,2014,74th,elevated warning,108.6,high,6.7,low,6,low,7.6,high,6.1,low,7.9,low,6.8,low,6.5,high,7.1,high,6.7,low,7.2,low,6,neutral,5.7,high,3.1,high,6.7,very low,1.4,low,6.9,very low,8.9,very low,1.3
Mozambique,2014,75th,elevated warning,108.5,high,6.6,low,6.6,neutral,5.4,very high,8.1,very low,8.3,low,7.4,low,7.5,very high,8.7,high,6.4,very low,8.9,neutral,4.9,low,7.1,neutral,5.4,high,7.5,neutral,4.6,high,2.2,high,3,very low,0
Venezuela,2014,76th,elevated warning,108.4,high,6.2,low,7.7,low,6.8,neutral,5.5,low,6.9,neutral,5.5,low,7.7,high,7.5,high,7.8,neutral,5.4,neutral,5.1,neutral,4.6,high,2.4,high,7.3,neutral,4.1,low,7.6,very low,8.6,very low,1.7
Uzbekistan,2014,77th,elevated warning,108.2,high,7.6,very low,8.8,low,7.4,high,7.1,low,7.3,low,6.6,very low,9.3,neutral,5.4,very high,9.3,low,6.4,neutral,5.7,neutral,5.4,high,2.5,very high,10,very low,1,low,6.3,very high,0,low,2.2
Tanzania,2014,78th,elevated warning,108.2,neutral,5.2,neutral,5.7,neutral,5.9,high,6.7,low,6.7,low,6.7,low,6,very high,8.7,high,6.3,very low,8.6,low,6.7,low,7.6,neutral,5.1,very high,9.7,very low,1.1,neutral,4.1,high,3.6,low,3.6
Bosnia and Herzegovina,2014,80th,elevated warning,108.1,high,6.5,very low,8.7,low,7.4,neutral,5.5,neutral,5.9,neutral,5.8,low,6.8,neutral,4.4,high,6.1,neutral,4.1,low,6.8,low,7.9,very high,1.3,very high,8.4,low,2.8,low,7.8,very low,9.8,low,2.1
Vietnam,2014,79th,elevated warning,108.1,neutral,5.1,low,6.9,low,6,neutral,5.7,neutral,5.8,neutral,5.5,very low,8,neutral,5.5,high,7.6,low,6.2,neutral,5,neutral,5.4,high,2,very high,9.5,neutral,4.5,very low,8.2,very low,8.9,low,2.4
Lesotho,2014,81st,elevated warning,106.1,neutral,4.9,low,7,neutral,4.7,very high,8.2,low,7,low,7.1,neutral,5.7,very high,8.2,neutral,5.1,very low,8,neutral,5.2,low,7.5,high,3.2,very high,9.2,neutral,4.7,very high,1.1,low,6.5,low,2.7
Russia,2014,82nd,elevated warning,106,very high,8.6,very low,8.1,very low,8.5,low,3.6,low,6.7,neutral,4.8,low,7.6,neutral,5,very high,8.7,neutral,5.4,neutral,5.2,neutral,4.3,very high,1.8,very high,9.7,very low,0.6,low,7.1,very low,9,very low,1.4
